"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Newtown","Wales",0.333,"out",1.167,28.6,":gb-wls:","Wales: 1.167 points","Latham Park",52.5115,-3.32288
"NK Koper","Slovenia",0.125,"out",2.125,5.9,":si:","Slovenia: 2.125 points","Bonifika Stadium",45.542356,13.730453
"NK Maribor","Slovenia",0.625,"out",2.125,29.4,":si:","Slovenia: 2.125 points","Ljudski vrt",46.5625,15.640556
"NK Osijek","Croatia",0.25,"out",3.375,7.4,":hr:","Croatia: 3.375 points","Gradski Vrt Stadium",45.545,18.695833
"NK Rijeka","Croatia",0,"out",3.375,0,":hr:","Croatia: 3.375 points","Stadion Kantrida",45.339202,14.380959
"OGC Nice","France",1.167,"not out",8.917,13.1,":fr:","France: 8.917 points","Allianz Riviera",43.705138888,7.192583333
"Olimpija Ljubljana","Slovenia",0.625,"out",2.125,29.4,":si:","Slovenia: 2.125 points","Stožice Stadium",46.081111,14.521389
"Olympiakos Piraeus","Greece",1.125,"not out",2.125,52.9,":gr:","Greece: 2.125 points","Karaiskakis Stadium",37.946169,23.664536
"Olympique Marseille","France",1.333,"out",8.917,15,":fr:","France: 8.917 points","Stade Vélodrome",43.269722222,5.395833333
"Omonia Nicosia","Cyprus",0.4,"not out",3.9,10.3,":cy:","Cyprus: 3.9 points","Dasaki Stadium",35.033889,33.765
"Paide Linnameeskond","Estonia",0.667,"out",1.167,57.1,":ee:","Estonia: 1.167 points","Paide linnastaadion",58.87845,25.54063
"Panathinaikos","Greece",0.125,"out",2.125,5.9,":gr:","Greece: 2.125 points","Apostolos Nikolaidis Stadium",37.987169444,23.754194444
"PAOK Thessaloniki","Greece",0.125,"out",2.125,5.9,":gr:","Greece: 2.125 points","Toumba Stadium",40.613839,22.972422
"Paris Saint-Germain","France",3.167,"not out",8.917,35.5,":fr:","France: 8.917 points","Parc des Princes",48.841388888,2.253055555
"Partizan Belgrade","Serbia",2,"not out",4.375,45.7,":rs:","Serbia: 4.375 points","Partizan Stadium",44.788611,20.459167
"Partizani Tirana","Albania",0.25,"out",0.875,28.6,":al:","Albania: 0.875 points","Selman Stërmasi Stadium",41.31898056,19.81138333
"Petrocub Hîncesti","Moldova",0.75,"out",2.75,27.3,":md:","Moldova: 2.75 points","Stadionul Ora<U+0219>enesc",46.8253576,28.5844937
"Pogon Szczecin","Poland",0.375,"out",4.75,7.9,":pl:","Poland: 4.75 points","Stadion Florian Kryger",53.43657611,14.51865806
"PSV Eindhoven","Netherlands",2.2,"not out",7.9,27.8,":nl:","Netherlands: 7.9 points","Philips Stadion",51.4417,5.4674
"Puskás Akadémia","Hungary",0.125,"out",5.875,2.1,":hu:","Hungary: 5.875 points","Pancho Arena",47.464,18.5868
"Pyunik Yerevan","Armenia",1.75,"not out",2.375,73.7,":am:","Armenia: 2.375 points","Alashkert Stadium",40.154605,44.475231
"Qarabag FK","Azerbaijan",2.375,"not out",3.25,73.1,":az:","Azerbaijan: 3.25 points","Karabakh Stadium",40.4212,49.9968
"Racing Union Luxembourg","Luxembourg",0,"out",1.125,0,":lu:","Luxembourg: 1.125 points","Stade Achille Hammerel",49.604722222,6.140277777
"Radnicki Nis","Serbia",0.25,"out",4.375,5.7,":rs:","Serbia: 4.375 points","Cair Stadium",43.315528,21.908533
